City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,santa fe de antioquia,6.5569,-75.8281,32.11,46,66,0.47,CO,1722883383
335,nampula,-15.1165,39.2666,18.56,70,39,2.31,MZ,1722883434
336,arkhangel'sk,64.5401,40.5433,14.06,88,40,2.0,RU,1722883435
337,griffith,41.5284,-87.4237,30.91,77,0,4.12,US,1722883364
338,murun-kuren,49.6342,100.1625,14.18,72,4,1.24,MN,1722883437
339,paracuru,-3.41,-39.0306,27.28,65,100,7.33,BR,1722883439
340,dikhil,11.5,42.1667,32.11,41,100,3.1,DJ,1722883440
341,chernyshevskiy,63.0128,112.4714,14.95,59,99,1.63,RU,1722883441
342,sines,37.9562,-8.8698,21.83,73,0,5.36,PT,1722883292
343,ulaangom,49.9811,92.0667,18.09,58,100,1.31,MN,1722883443
344,bereznik,62.8551,42.7072,13.67,88,100,1.97,RU,1722883444
345,san agustin,20.5333,-103.4667,23.62,60,40,3.09,MX,1722883445
346,haiku-pauwela,20.9219,-156.3051,25.8,70,0,6.69,US,1722883446
347,vilyuchinsk,52.9306,158.4028,12.15,83,100,0.2,RU,1722883447
348,guilin,25.2819,110.2864,26.06,89,53,0.49,CN,1722883448
349,mount pearl,47.5166,-52.7813,22.92,87,100,11.32,CA,1722883449
350,kuta,-8.7233,115.1723,25.97,89,20,4.63,ID,1722883450
351,mugia,43.1041,-9.2179,22.73,93,10,2.04,ES,1722883451
352,cidreira,-30.1811,-50.2056,17.29,93,83,3.11,BR,1722883453
353,hasaki,35.7333,140.8333,25.22,90,0,2.39,JP,1722883454
354,santarem,-2.4431,-54.7083,32.07,58,20,5.14,BR,1722883455
355,barguzin,53.6167,109.6167,13.69,81,1,0.46,RU,1722883456
356,bujaru,-1.515,-48.0447,32.19,36,36,2.92,BR,1722883457
357,arraial do cabo,-22.9661,-42.0278,26.92,65,0,7.72,BR,1722883388
358,cururupu,-1.8283,-44.8683,30.81,52,100,2.46,BR,1722883459
359,namibe,-15.1961,12.1522,18.02,87,100,1.58,AO,1722883460
360,island harbour,50.724,-1.2758,20.2,75,53,1.79,GB,1722883461
361,ryotsu-minato,38.0833,138.4333,23.32,91,79,2.87,JP,1722883463
362,kamina,-8.7386,24.9906,20.95,17,5,1.83,CD,1722883464
